Year,Area,Level,BirthRate,NationalRate,DeviationFromNational
2008,Border,Region,16.0,17.0,-1.0
2008,Carlow,County,20.7,17.0,3.6999999999999993
2008,Cavan,County,18.9,17.0,1.8999999999999986
2008,Clare,County,15.9,17.0,-1.0999999999999996
2008,Connacht,Province,16.0,17.0,-1.0
2008,Cork City,County,12.9,17.0,-4.1
2008,Cork County,County,18.0,17.0,1.0
2008,Donegal,County,14.7,17.0,-2.3000000000000007
2008,Dublin,Region,16.8,17.0,-0.1999999999999993
2008,Dublin City,County,14.5,17.0,-2.5
2008,Dun Laoghaire-Rathdown,County,13.5,17.0,-3.5
2008,Fingal,County,21.7,17.0,4.699999999999999
2008,Galway City,County,14.0,17.0,-3.0
2008,Galway County,County,18.6,17.0,1.6000000000000014
2008,Kerry,County,14.2,17.0,-2.8000000000000007
2008,Kildare,County,20.5,17.0,3.5
2008,Kilkenny,County,15.5,17.0,-1.5
2008,Laois,County,19.5,17.0,2.5
2008,Leinster,Province,17.7,17.0,0.6999999999999993
2008,Leitrim,County,16.9,17.0,-0.10000000000000142
2008,Limerick City,County,15.0,17.0,-2.0
2008,Limerick County,County,17.1,17.0,0.10000000000000142
2008,Longford,County,20.2,17.0,3.1999999999999993
2008,Louth,County,17.1,17.0,0.10000000000000142
2008,Mayo,County,14.6,17.0,-2.4000000000000004
2008,Meath,County,21.2,17.0,4.199999999999999
2008,Mid-East,Region,19.6,17.0,2.6000000000000014
2008,Mid-West,Region,16.8,17.0,-0.1999999999999993
2008,Midland,Region,18.1,17.0,1.1000000000000014
2008,Monaghan,County,15.1,17.0,-1.9000000000000004
2008,Munster,Province,16.3,17.0,-0.6999999999999993
2008,Offaly,County,17.1,17.0,0.10000000000000142
2008,Roscommon,County,14.8,17.0,-2.1999999999999993
2008,Sligo,County,15.2,17.0,-1.8000000000000007
2008,South Dublin,County,18.1,17.0,1.1000000000000014
2008,South-East,Region,16.9,17.0,-0.10000000000000142
2008,South-West,Region,16.2,17.0,-0.8000000000000007
2008,State,National,17.0,17.0,0.0
2008,Tipperary,County,16.3,17.0,-0.6999999999999993
2008,Ulster (part of),Province,15.8,17.0,-1.1999999999999993
2008,Waterford City,County,18.7,17.0,1.6999999999999993
2008,Waterford County,County,16.3,17.0,-0.6999999999999993
2008,West,Region,16.3,17.0,-0.6999999999999993
2008,Westmeath,County,18.0,17.0,1.0
2008,Wexford,County,18.4,17.0,1.3999999999999986
2008,Wicklow,County,19.0,17.0,2.0
2009,Border,Region,15.7,16.9,-1.1999999999999993
2009,Carlow,County,18.8,16.9,1.9000000000000021
2009,Cavan,County,18.3,16.9,1.4000000000000021
2009,Clare,County,16.3,16.9,-0.5999999999999979
2009,Connacht,Province,15.5,16.9,-1.3999999999999986
2009,Cork City,County,14.0,16.9,-2.8999999999999986
2009,Cork County,County,17.9,16.9,1.0
2009,Donegal,County,15.2,16.9,-1.6999999999999993
2009,Dublin,Region,17.1,16.9,0.20000000000000284
2009,Dublin City,County,15.0,16.9,-1.8999999999999986
