Year,Area,Level,BirthRate
2008,Border,Region,16.0
2008,Carlow,County,20.7
2008,Cavan,County,18.9
2008,Clare,County,15.9
2008,Connacht,Province,16.0
2008,Cork City,County,12.9
2008,Cork County,County,18.0
2008,Donegal,County,14.7
2008,Dublin,Region,16.8
2008,Dublin City,County,14.5
2008,Dun Laoghaire-Rathdown,County,13.5
2008,Fingal,County,21.7
2008,Galway City,County,14.0
2008,Galway County,County,18.6
2008,Kerry,County,14.2
2008,Kildare,County,20.5
2008,Kilkenny,County,15.5
2008,Laois,County,19.5
2008,Leinster,Province,17.7
2008,Leitrim,County,16.9
2008,Limerick City,County,15.0
2008,Limerick County,County,17.1
2008,Longford,County,20.2
2008,Louth,County,17.1
2008,Mayo,County,14.6
2008,Meath,County,21.2
2008,Mid-East,Region,19.6
2008,Mid-West,Region,16.8
2008,Midland,Region,18.1
2008,Monaghan,County,15.1
2008,Munster,Province,16.3
2008,Offaly,County,17.1
2008,Roscommon,County,14.8
2008,Sligo,County,15.2
2008,South Dublin,County,18.1
2008,South-East,Region,16.9
2008,South-West,Region,16.2
2008,State,National,17.0
2008,Tipperary,County,16.3
2008,Ulster (part of),Province,15.8
2008,Waterford City,County,18.7
2008,Waterford County,County,16.3
2008,West,Region,16.3
2008,Westmeath,County,18.0
2008,Wexford,County,18.4
2008,Wicklow,County,19.0
2009,Border,Region,15.7
2009,Carlow,County,18.8
2009,Cavan,County,18.3
2009,Clare,County,16.3
2009,Connacht,Province,15.5
2009,Cork City,County,14.0
2009,Cork County,County,17.9
2009,Donegal,County,15.2
2009,Dublin,Region,17.1
2009,Dublin City,County,15.0
2009,Dun Laoghaire-Rathdown,County,14.1
2009,Fingal,County,21.8
2009,Galway City,County,13.7
2009,Galway County,County,17.5
2009,Kerry,County,14.8
2009,Kildare,County,20.5
2009,Kilkenny,County,15.4
2009,Laois,County,19.9
2009,Leinster,Province,17.7
2009,Leitrim,County,16.0
2009,Limerick City,County,14.0
2009,Limerick County,County,17.6
2009,Longford,County,19.8
2009,Louth,County,16.2
2009,Mayo,County,14.0
2009,Meath,County,20.5
2009,Mid-East,Region,19.3
2009,Mid-West,Region,16.9
2009,Midland,Region,18.1
2009,Monaghan,County,14.2
2009,Munster,Province,16.4
2009,Offaly,County,16.9
2009,Roscommon,County,14.9
2009,Sligo,County,15.5
2009,South Dublin,County,17.9
2009,South-East,Region,16.4
2009,South-West,Region,16.5
2009,State,National,16.9
2009,Tipperary,County,16.7
2009,Ulster (part of),Province,15.7
2009,Waterford City,County,17.5
2009,Waterford County,County,15.8
2009,West,Region,15.7
2009,Westmeath,County,17.8
2009,Wexford,County,17.4
2009,Wicklow,County,18.6
2010,Border,Region,15.1
2010,Carlow,County,18.1
2010,Cavan,County,16.8
2010,Clare,County,14.4
2010,Connacht,Province,15.3
2010,Cork City,County,14.1
2010,Cork County,County,17.1
2010,Donegal,County,13.9
2010,Dublin,Region,17.0
2010,Dublin City,County,16.0
2010,Dun Laoghaire-Rathdown,County,13.8
2010,Fingal,County,20.2
2010,Galway City,County,16.1
2010,Galway County,County,16.6
2010,Kerry,County,13.5
2010,Kildare,County,19.1
2010,Kilkenny,County,15.2
2010,Laois,County,17.9
2010,Leinster,Province,17.3
2010,Leitrim,County,14.9
2010,Limerick City,County,13.6
2010,Limerick County,County,17.5
2010,Longford,County,17.5
2010,Louth,County,16.0
2010,Mayo,County,14.2
2010,Meath,County,19.6
2010,Mid-East,Region,19.2
2010,Mid-West,Region,16.0
2010,Midland,Region,17.3
2010,Monaghan,County,14.6
2010,Munster,Province,15.7
2010,Offaly,County,16.3
2010,Roscommon,County,14.1
2010,Sligo,County,14.5
2010,South Dublin,County,18.1
2010,South-East,Region,15.7
2010,South-West,Region,15.8
2010,State,National,16.5
2010,Tipperary,County,15.55
2010,Ulster (part of),Province,14.8
2010,Waterford City,County,18.8
2010,Waterford County,County,14.8
2010,West,Region,15.5
2010,Westmeath,County,17.8
2010,Wexford,County,15.7
2010,Wicklow,County,18.8
2011,Border,Region,14.7
2011,Carlow,County,18.1
2011,Cavan,County,17.3
2011,Clare,County,14.8
2011,Connacht,Province,14.9
2011,Cork City,County,13.5
2011,Cork County,County,16.7
2011,Donegal,County,13.5
2011,Dublin,Region,17.1
2011,Dublin City,County,15.7
2011,Dun Laoghaire-Rathdown,County,13.8
2011,Fingal,County,20.2
2011,Galway City,County,15.6
2011,Galway County,County,16.3
2011,Kerry,County,14.0
2011,Kildare,County,18.3
2011,Kilkenny,County,14.9
